start,alive,censored,median_max_ratio,n_3x,rate_3x,n_5x,rate_5x,n_10x,rate_10x,bucket
2015-01-02,2380,False,1.302018404006958,34,0.014285714285714285,3,0.0012605042016806723,1,0.0004201680672268908,ALL
2015-01-02,77,False,1.345978021621704,4,0.05194805194805195,1,0.012987012987012988,0,0.0,<50M
2015-01-02,339,False,1.359148383140564,4,0.011799410029498525,0,0.0,0,0.0,50-300M
2015-01-02,804,False,1.3648536205291748,21,0.026119402985074626,2,0.0024875621890547263,1,0.0012437810945273632,300M-2B
2015-01-02,669,False,1.2957899570465088,3,0.004484304932735426,0,0.0,0,0.0,2-10B
2015-01-02,340,False,1.236389398574829,0,0.0,0,0.0,0,0.0,10-50B
2015-01-02,140,False,1.2319421768188477,2,0.014285714285714285,0,0.0,0,0.0,>50B
2016-01-01,2504,False,1.5037730932235718,144,0.05750798722044728,32,0.012779552715654952,5,0.001996805111821086,ALL
2016-01-01,80,False,1.6251907348632812,14,0.175,6,0.075,2,0.025,<50M
2016-01-01,390,False,1.6398072242736816,37,0.09487179487179487,6,0.015384615384615385,0,0.0,50-300M
2016-01-01,862,False,1.5829782485961914,62,0.07192575406032482,13,0.015081206496519721,2,0.002320185614849188,300M-2B
2016-01-01,687,False,1.4670871496200562,23,0.033478893740902474,4,0.005822416302765648,0,0.0,2-10B
2016-01-01,334,False,1.4160206317901611,5,0.014970059880239521,2,0.005988023952095809,1,0.0029940119760479044,10-50B
2016-01-01,140,False,1.331288456916809,3,0.02142857142857143,1,0.007142857142857143,0,0.0,>50B
2017-01-06,2618,False,1.3792065382003784,143,0.0546218487394958,38,0.014514896867838044,5,0.0019098548510313217,ALL
2017-01-06,78,False,1.447573184967041,10,0.1282051282051282,5,0.0641025641025641,0,0.0,<50M
2017-01-06,351,False,1.4362252950668335,33,0.09401709401709402,13,0.037037037037037035,4,0.011396011396011397,50-300M
2017-01-06,878,False,1.4031198024749756,63,0.07175398633257403,12,0.01366742596810934,1,0.0011389521640091116,300M-2B
2017-01-06,774,False,1.3665246963500977,27,0.03488372093023256,5,0.006459948320413436,0,0.0,2-10B
2017-01-06,370,False,1.340907335281372,4,0.010810810810810811,1,0.002702702702702703,0,0.0,10-50B
2017-01-06,156,False,1.3320996761322021,6,0.038461538461538464,2,0.01282051282051282,0,0.0,>50B
2018-01-05,2753,False,1.251861333847046,95,0.03450780966218671,20,0.00726480203414457,7,0.0025426807119505995,ALL
2018-01-05,72,False,1.4024561643600464,8,0.1111111111111111,2,0.027777777777777776,1,0.013888888888888888,<50M
2018-01-05,338,False,1.263723373413086,30,0.08875739644970414,3,0.008875739644970414,2,0.005917159763313609,50-300M
2018-01-05,895,False,1.2732348442077637,37,0.041340782122905026,9,0.01005586592178771,3,0.0033519553072625698,300M-2B
2018-01-05,843,False,1.2492740154266357,16,0.018979833926453145,4,0.004744958481613286,0,0.0,2-10B
