start,alive,censored,median_max_ratio,n_3x,rate_3x,n_5x,rate_5x,n_10x,rate_10x,bucket
2014-10-03,2354,False,1.3223657608032227,50,0.021240441801189464,4,0.0016992353440951572,0,0.0,ALL
2014-10-03,80,False,1.3796677589416504,4,0.05,0,0.0,0,0.0,<50M
2014-10-03,349,False,1.3390705585479736,12,0.034383954154727794,1,0.0028653295128939827,0,0.0,50-300M
2014-10-03,812,False,1.3506410121917725,25,0.03078817733990148,3,0.003694581280788177,0,0.0,300M-2B
2014-10-03,645,False,1.3154033422470093,4,0.006201550387596899,0,0.0,0,0.0,2-10B
2014-10-03,320,False,1.2659707069396973,2,0.00625,0,0.0,0,0.0,10-50B
2014-10-03,137,False,1.2013788223266602,3,0.021897810218978103,0,0.0,0,0.0,>50B
2015-09-25,2469,False,1.4519504308700562,98,0.03969218307006885,16,0.0064803564196030785,0,0.0,ALL
2015-09-25,84,False,1.511763095855713,6,0.07142857142857142,2,0.023809523809523808,0,0.0,<50M
2015-09-25,392,False,1.5583593845367432,28,0.07142857142857142,5,0.012755102040816327,0,0.0,50-300M
2015-09-25,835,False,1.5373895168304443,41,0.04910179640718563,5,0.005988023952095809,0,0.0,300M-2B
2015-09-25,680,False,1.4228112697601318,21,0.030882352941176472,4,0.0058823529411764705,0,0.0,2-10B
2015-09-25,327,False,1.3879181146621704,1,0.0030581039755351682,0,0.0,0,0.0,10-50B
2015-09-25,140,False,1.3257412910461426,1,0.007142857142857143,0,0.0,0,0.0,>50B
2016-09-30,2570,False,1.4857211112976074,158,0.06147859922178988,37,0.014396887159533073,7,0.002723735408560311,ALL
2016-09-30,82,False,1.5337095260620117,9,0.10975609756097561,4,0.04878048780487805,3,0.036585365853658534,<50M
2016-09-30,368,False,1.6106364727020264,43,0.11684782608695653,16,0.043478260869565216,3,0.008152173913043478,50-300M
2016-09-30,861,False,1.5298188924789429,66,0.07665505226480836,14,0.016260162601626018,1,0.0011614401858304297,300M-2B
2016-09-30,739,False,1.457956314086914,28,0.037889039242219216,2,0.0027063599458728013,0,0.0,2-10B
2016-09-30,361,False,1.4123258590698242,9,0.024930747922437674,0,0.0,0,0.0,10-50B
2016-09-30,149,False,1.3207591772079468,3,0.020134228187919462,1,0.006711409395973154,0,0.0,>50B
2017-09-29,2713,False,1.308964490890503,124,0.04570586067084408,32,0.011795060818282344,6,0.0022115739034279398,ALL
2017-09-29,83,False,1.5946186780929565,10,0.12048192771084337,4,0.04819277108433735,0,0.0,<50M
2017-09-29,339,False,1.351832389831543,36,0.10619469026548672,10,0.029498525073746312,2,0.0058997050147492625,50-300M
2017-09-29,885,False,1.303826093673706,46,0.0519774011299435,12,0.013559322033898305,3,0.003389830508474576,300M-2B
2017-09-29,831,False,1.296697974205017,24,0.02888086642599278,3,0.0036101083032490976,0,0.0,2-10B
2017-09-29,400,False,1.3073880672454834,5,0.0125,1,0.0025,1,0.0025,10-50B
2017-09-29,164,False,1.3120191097259521,3,0.018292682926829267,2,0.012195121951219513,0,0.0,>50B
2018-09-28,2889,False,1.208202600479126,123,0.04257528556593977,35,0.012114918656974732,10,0.003461405330564209,ALL
2018-09-28,72,False,1.1679167747497559,8,0.1111111111111111,4,0.05555555555555555,1,0.013888888888888888,<50M
2018-09-28,361,False,1.2013298273086548,30,0.08310249307479224,11,0.030470914127423823,4,0.0110803324099723,50-300M
2018-09-28,942,False,1.2018001079559326,47,0.049893842887473464,11,0.01167728237791932,3,0.0031847133757961785,300M-2B
2018-09-28,876,False,1.1894593238830566,26,0.02968036529680365,4,0.0045662100456621,0,0.0,2-10B
